label,surface,type,context,confidence,uri
Erbethaus,Erbethaus,PLACE,"...**Erbethaus** Schulten , Schulfußen , filiteb .",unverified,
Schulfußen (school office),Schulfußen,ORG,"...Schulten , **Schulfußen** , filiteb . drüb Gelerat ...",,
Gelerat,Gelerat,PERSON,...drüb **Gelerat** .,unverified,
Bulperg,Bulperg,PLACE,...tus de **bulperg** . Exempeb .,unverified,
Bernu (Bern),Bernu,PLACE,"...testim̄ō er lobur **Bernu** , noch . Abbat...",unverified,
Erzbech,Erzbech,PLACE,"...und **Erzbech** , von Rome vnser gnediquͦ stitim...",unverified,
Küng,Küng,PLACE,"...und **Küng** . Erzbech , von Rome...",unverified,
Aquila (possible scribe),Aquila,PERSON,...​,unverified,
Juden (Jews),Juden,SOCIAL_GROUP,... die armen **Juden** …,medium,
Arme Lüten (poor people),arme lüten,SOCIAL_GROUP,...gemeinen **armen lüten** und drû unser lieben frowen...,medium,
Almosen (charitable giving),Almosen,CARE_ACTION,...Almuͦsen teilen . nach der wise ...,medium,
Spende (donation),Spende,CARE_ACTION,...die **Spende** …,,
Anno (year unspecified),Anno,DATE,...Anno **dün̄** oder gnädigenn heria sodan̄...,,
130 (page/folio number),130,DATE,--- e-codices_saa-0428_015v_large.jpg --- **130**,,
12 (Roman numeral),Xii,DATE,**Xii .** Etliche gwuffen ...,,
16 (Roman numeral),XVI,DATE,**XVI** oder dar nach Annum vierzehen tagen ...,,
15 (Roman numeral),XV,DATE,...Am **XV** 6. noveb gnaden .,,
300 (Trecent),Trecent,DATE,...Anno **diu Oſllimo . Trecent . Decano Nona .,,
Ninth Decade,Decano Nona,DATE,...Trecent . **Decano Nona** .,,
Gottz Hus (property),Gottz Hus,PLACE,...von **Gottz Hus** Tunurowem...,unverified,
Tunurowe,Tunurowe,PLACE,...oder **Tunurowe** In der vorgenannten stat...,high,
Convent (monastic community),Convent,ORG,...**Convent** von der convent ab legen...,,
Capitel (chapter),Capitels,ORG,...unseres **Capitels** Insigel Dirre buef...,,
Eptissin (episcopal official),Eptissin,PERSON,...**Eptissin** des selben tages...,unverified,
Königliches (royal),Königl,ORG,...Closter ... die Closter ze **Königl** haben sol...,,
Vogt (advocate),Vogt,ROLE,...des **vogtes von baden** brief...,medium,
Abschlag (grant),Abschlag,CARE_ACTION,...**Almuͦsen** ...,,
Trutman (official),Trutman,PERSON,...der **trutman** hat von dem von eethowe...,unverified,
Königliche (royal),Königliche,ORG,...mit **Königliche** ...,,
Bischof (bishop),Bischof,ROLE,...mit **Bischof von kostentz**...,,
Herzog (duke),Herzog,ROLE,...und **Der Herzog von Osterich**...,,
Rudolf,Rudolf,PERSON,...mit dem Ingeeligel **Rüdolffß** des ...,unverified,
Lügen? (unlikely),Lügen,CARE_ACTION,...,,
Bern (city),Bern,PLACE,...in **Bern** ...,unverified,
Gottesgeburt (birth of God),Gottesgeburt,CARE_ACTION,...von **Gottesgeburt** Drüzenhundert...,,
Graffust,Graffust,PLACE,...Datum in **Graffust** in die sinstanten...,unverified,
Küngsucken,Küngsucken,PLACE,...Küngsucken ...,unverified,
Sticht (sharpen?),Stich,CARE_ACTION,...,,
Conventus (a convent),Conventus,ORG,...**Conventus** pflöpsa...,,
Schafusen (possibly a locality),Schafusen,PLACE,...von **Schafusen** ...,unverified,
Lehen (feudal lease),Lehen,CARE_ACTION,... und **Lehen** ...,,
Zängere (unknown group),Zängere,SOCIAL_GROUP,...,,
Mönch (monk),Mönch,ROLE,"...et alii **Monach** , dann von Schafusen ...",,
Königstuer,Königstuer,PLACE,......,unverified,
Abt,Abt von ...,ROLE,...der **abbtisch** ...,,
